"part_id","hit_before_n","hit_during_n","hit_after_n","miss_n","false_alarm_n","corr_rej_n","hit_n","target","distractors","d_prime","auto_dprime$dprime","sl_aprime","task"
"blast_c_406",9,5,6,28,86,442,20,48,528,0.772266598718136,0.772266598718136,0.728064582476347,"tsl"
"blast_c_409",15,7,6,20,134,394,28,48,528,0.87304558475993,0.87304558475993,0.751639857604325,"tsl"
"blast_c_420",4,20,11,13,22,506,35,48,528,2.34195900630858,2.34195900630858,0.915062111801242,"tsl"
"blast_c_427",6,12,9,21,103,425,27,48,528,1.01665330755607,1.01665330755607,0.777417310358487,"tsl"
"blast_c_428",19,15,8,6,138,390,42,48,528,1.78949643297248,1.78949643297248,0.883016983016983,"tsl"
"blast_c_429",17,17,3,11,177,351,37,48,528,1.16711829681105,1.16711829681105,0.805095305095305,"tsl"
"blast_c_438",0,4,3,41,32,496,7,48,528,0.495233448966536,0.495233448966536,0.668785347716799,"tsl"
"blast_c_439",4,3,7,34,78,450,14,48,528,0.497708388268249,0.497708388268249,0.665598845598846,"tsl"
"blast_c_440",12,10,8,18,124,404,30,48,528,1.04161155452171,1.04161155452171,0.783535853585358,"tsl"
"blast_c_444",8,3,7,30,39,489,18,48,528,1.12896663408969,1.12896663408969,0.782045919315858,"tsl"
"blast_c_451",3,4,2,39,61,467,9,48,528,0.310484687602124,0.310484687602124,0.616302208379296,"tsl"
"blast_c_454",1,5,12,30,67,461,18,48,528,0.822557813186261,0.822557813186261,0.736445255154583,"tsl"
"blast_c_456",3,20,15,10,20,508,38,48,528,2.588068215314,2.588068215314,0.933904419244245,"tsl"
"blast_c_457",2,1,17,28,42,486,20,48,528,1.19770724690016,1.19770724690016,0.793836513280958,"tsl"
"blast_c_458",2,2,0,44,23,505,4,48,528,0.327788693271591,0.327788693271591,0.629714221422142,"tsl"
"blast_c_462",7,7,9,25,113,415,23,48,528,0.740321542683481,0.740321542683481,0.722677270346207,"tsl"
"blast_c_467",12,5,9,22,137,391,26,48,528,0.749614617011782,0.749614617011782,0.725513297444244,"tsl"
"blast_c_469",10,4,3,31,63,465,17,48,528,0.804306632801995,0.804306632801995,0.732442067736185,"tsl"
"blast_c_470",8,5,5,30,42,486,18,48,528,1.08949627718371,1.08949627718371,0.777216610549944,"tsl"
"blast_c_471",9,18,13,8,95,433,40,48,528,1.88307540235896,1.88307540235896,0.895214413184968,"tsl"
"blast_c_474",31,10,2,5,295,233,43,48,528,1.11045677910092,1.11045677910092,0.785067462729904,"tsl"
"blast_c_475",5,3,1,39,37,491,9,48,528,0.588080476961844,0.588080476961844,0.688133884671563,"tsl"
"blast_c_476",6,3,1,38,60,468,10,48,528,0.395196248722289,0.395196248722289,0.640345765345765,"tsl"
"blast_c_478",16,17,7,8,169,359,40,48,528,1.43490853215105,1.43490853215105,0.842695935679919,"tsl"
"blast_c_481",5,10,7,26,57,471,22,48,528,1.13284612380994,1.13284612380994,0.789311031566388,"tsl"
"blast_c_483",7,15,10,16,105,423,32,48,528,1.27641448652203,1.27641448652203,0.821407223834085,"tsl"
"blast_c_484",2,7,30,9,55,473,39,48,528,2.14530812008197,2.14530812008197,0.915623136553369,"tsl"
"blast_c_485",6,6,4,32,59,469,16,48,528,0.786586493449551,0.786586493449551,0.728559919558054,"tsl"
"blast_c_487",5,4,1,38,48,480,10,48,528,0.522959934619024,0.522959934619024,0.673200757575758,"tsl"
"blast_c_488",7,2,1,38,76,452,10,48,528,0.250568687832832,0.250568687832832,0.59607803700724,"tsl"
"blast_c_491",19,9,2,18,180,348,30,48,528,0.728622686151712,0.728622686151712,0.721394984326019,"tsl"
"blast_c_492",6,9,5,28,81,447,20,48,528,0.81149283924438,0.81149283924438,0.735695037624568,"tsl"
"blast_c_493",3,2,2,41,13,515,7,48,528,0.912014186900704,0.912014186900704,0.738860168957256,"tsl"
"blast_c_497",11,6,3,28,53,475,20,48,528,1.06896779318413,1.06896779318413,0.777667464114832,"tsl"
"blast_c_499",7,5,10,26,62,466,22,48,528,1.08332828119243,1.08332828119243,0.782516936828291,"tsl"
"spoli_c_008",7,9,14,18,90,438,30,48,528,1.27100991145201,1.27100991145201,0.818804483188045,"tsl"
"spoli_c_014",2,3,5,38,46,482,10,48,528,0.546479825920304,0.546479825920304,0.678649566201433,"tsl"
"spoli_c_030",2,2,1,43,35,493,5,48,528,0.245860223836969,0.245860223836969,0.601051078738706,"tsl"
"spoli_c_049",0,0,1,47,44,484,1,48,528,-0.65384000460075,-0.65384000460075,0.296542553191489,"tsl"
"spoli_c_071",17,7,1,23,144,384,25,48,528,0.656830526959178,0.656830526959178,0.704377367424243,"tsl"
"spoli_c_076",11,10,7,20,86,442,28,48,528,1.19312338721399,1.19312338721399,0.805760416054534,"tsl"
"spoli_c_078",11,18,8,11,137,391,37,48,528,1.38657520525922,1.38657520525922,0.83848193694741,"tsl"
"spoli_c_088",4,4,8,32,52,476,16,48,528,0.859505915743542,0.859505915743542,0.741262414056532,"tsl"
"spoli_c_093",9,16,9,14,107,421,34,48,528,1.38070993875375,1.38070993875375,0.837027004712487,"tsl"
"spoli_c_097",35,7,0,6,288,240,42,48,528,1.03616408605458,1.03616408605458,0.775405844155844,"tsl"
"spoli_c_125",2,2,1,43,26,502,5,48,528,0.394082299661108,0.394082299661108,0.646260412893879,"tsl"
"spoli_c_342",38,8,0,2,372,156,46,48,528,1.19414528991947,1.19414528991947,0.780949123340428,"tsl"
"spoli_c_346",3,4,8,33,51,477,15,48,528,0.81244751397459,0.81244751397459,0.732475700400229,"tsl"
"spoli_c_379",3,16,3,26,56,472,22,48,528,1.14312039973725,1.14312039973725,0.790665709483121,"tsl"
"spoli_c_391",7,3,2,36,39,489,12,48,528,0.773116247857979,0.773116247857979,0.723682375906302,"tsl"
"spoli_c_396",13,6,4,25,102,426,23,48,528,0.81398556447219,0.81398556447219,0.737824509640186,"tsl"
"spoli_c_404",0,1,1,46,9,519,2,48,528,0.387330372165499,0.387330372165499,0.653989315116483,"tsl"
"spoli_c_409",10,11,7,20,88,440,28,48,528,1.17784996034963,1.17784996034963,0.803571428571429,"tsl"
"spoli_c_410",7,7,10,24,88,440,24,48,528,0.967421566101701,0.967421566101701,0.766666666666667,"tsl"
"spoli_c_419",9,9,4,26,103,425,22,48,528,0.754709167331826,0.754709167331826,0.725359747204667,"tsl"
"spoli_c_439",8,8,5,27,53,475,21,48,528,1.12208550282189,1.12208550282189,0.786324903167008,"tsl"
"spoli_c_444",28,8,1,11,225,303,37,48,528,0.927813423166751,0.927813423166751,0.761958628295262,"tsl"
"spoli_c_447",2,3,1,42,16,512,6,48,528,0.726009181518587,0.726009181518587,0.713808001893939,"tsl"
"spoli_c_448",21,9,3,15,154,374,33,48,528,1.03729869381277,1.03729869381277,0.783645276292335,"tsl"
"spoli_c_450",5,3,6,34,66,462,14,48,528,0.60182709767791,0.60182709767791,0.69047619047619,"tsl"
"spoli_c_451",12,11,4,21,94,434,27,48,528,1.08020821821684,1.08020821821684,0.787810904746389,"tsl"
"spoli_c_452",7,6,3,32,58,470,16,48,528,0.796606998485893,0.796606998485893,0.730379593810445,"tsl"
"spoli_c_477",3,10,15,20,59,469,28,48,528,1.42774218699293,1.42774218699293,0.83483960069781,"tsl"
"spoli_c_487",9,7,1,31,75,453,17,48,528,0.697079236628651,0.697079236628651,0.711542774846242,"tsl"
"spoli_c_494",8,5,1,34,76,452,14,48,528,0.514264206634647,0.514264206634647,0.669764969543731,"tsl"
"spoli_c_501",5,5,5,33,57,471,15,48,528,0.748703168309344,0.748703168309344,0.720961204400695,"tsl"
"spoli_c_522",9,13,12,14,106,422,34,48,528,1.38744059394329,1.38744059394329,0.837912157538586,"tsl"
"spoli_c_537",12,13,2,21,46,482,27,48,528,1.51600831203039,1.51600831203039,0.841466183271163,"tsl"
"spoli_c_583",4,2,2,40,31,497,8,48,528,0.598255480847169,0.598255480847169,0.690603850374977,"tsl"
"spoli_c_617",1,34,6,7,105,423,41,48,528,1.90015963899663,1.90015963899663,0.896287734637501,"tsl"
"spoli_c_640",15,21,4,8,34,494,40,48,528,2.48632073291898,2.48632073291898,0.936147405226353,"tsl"
"spoli_c_644",4,4,9,31,53,475,17,48,528,0.905300777234333,0.905300777234333,0.749670700816212,"tsl"
"spoli_c_647",7,4,1,36,87,441,12,48,528,0.300540097612029,0.300540097612029,0.610737476808905,"tsl"
"spoli_c_677",0,0,0,48,1,527,0,48,528,-Inf,-Inf,0.249526515151515,"tsl"
"spoli_c_724",5,7,1,35,41,487,13,48,528,0.810752616830249,0.810752616830249,0.73068307462558,"tsl"
"spoli_c_730",3,1,3,41,38,490,7,48,528,0.406804713048693,0.406804713048693,0.64652133580705,"tsl"
"spoli_c_740",7,4,6,31,71,457,17,48,528,0.731412903668409,0.731412903668409,0.718537544319498,"tsl"
"spoli_c_743",8,9,4,27,115,413,21,48,528,0.622323785169611,0.622323785169611,0.69575904321667,"tsl"
"spoli_c_760",11,14,8,15,100,428,33,48,528,1.36890827603161,1.36890827603161,0.834750971911125,"tsl"
"spoli_c_768",9,5,6,28,36,492,20,48,528,1.27904164808002,1.27904164808002,0.802586844050259,"tsl"
