"","ans","subj","key","trial_order","corr"
"343","2","spoli_c_071",2,23,1
"344","1","spoli_c_071",1,24,1
"345","2","spoli_c_071",1,25,0
"346","1","spoli_c_071",2,26,0
"347","1","spoli_c_071",2,27,0
"348","2","spoli_c_071",1,28,0
"349","1","spoli_c_071",1,29,1
"350","1","spoli_c_071",2,30,0
"351","1","spoli_c_071",1,31,1
"352","2","spoli_c_071",2,32,1
"353","2","spoli_c_125",2,1,1
"354","1","spoli_c_125",1,2,1
"355","2","spoli_c_125",1,3,0
"356","1","spoli_c_125",2,4,0
"357","1","spoli_c_125",1,5,1
"358","1","spoli_c_125",2,6,0
"359","2","spoli_c_125",2,7,1
"360","2","spoli_c_125",1,8,0
"361","2","spoli_c_125",1,9,0
"362","2","spoli_c_125",2,10,1
"363","2","spoli_c_125",2,11,1
"364","1","spoli_c_125",1,12,1
"365","2","spoli_c_125",2,13,1
"366","1","spoli_c_125",1,14,1
"367","2","spoli_c_125",2,15,1
"368","1","spoli_c_125",1,16,1
"369","2","spoli_c_125",1,17,0
"370","2","spoli_c_125",2,18,1
"371","2","spoli_c_125",1,19,0
"372","1","spoli_c_125",2,20,0
"373","1","spoli_c_125",2,21,0
"374","1","spoli_c_125",1,22,1
"375","2","spoli_c_125",2,23,1
"376","2","spoli_c_125",1,24,0
"377","2","spoli_c_125",1,25,0
"378","1","spoli_c_125",2,26,0
"379","2","spoli_c_125",2,27,1
"380","2","spoli_c_125",1,28,0
"381","2","spoli_c_125",1,29,0
"382","1","spoli_c_125",2,30,0
"383","1","spoli_c_125",1,31,1
"384","1","spoli_c_125",2,32,0
"385","2","spoli_c_379",2,1,1
"386","1","spoli_c_379",1,2,1
"387","1","spoli_c_379",1,3,1
"388","2","spoli_c_379",2,4,1
"389","2","spoli_c_379",1,5,0
"390","2","spoli_c_379",2,6,1
"391","2","spoli_c_379",2,7,1
"392","2","spoli_c_379",1,8,0
"393","2","spoli_c_379",1,9,0
"394","1","spoli_c_379",2,10,0
"395","2","spoli_c_379",2,11,1
"396","1","spoli_c_379",1,12,1
"397","2","spoli_c_379",2,13,1
"398","2","spoli_c_379",1,14,0
"399","1","spoli_c_379",2,15,0
"400","2","spoli_c_379",1,16,0
"401","1","spoli_c_379",1,17,1
"402","2","spoli_c_379",2,18,1
"403","1","spoli_c_379",1,19,1
"404","2","spoli_c_379",2,20,1
"405","2","spoli_c_379",2,21,1
"406","1","spoli_c_379",1,22,1
"407","1","spoli_c_379",2,23,0
"408","2","spoli_c_379",1,24,0
"409","1","spoli_c_379",1,25,1
"410","2","spoli_c_379",2,26,1
"411","2","spoli_c_379",2,27,1
"412","2","spoli_c_379",1,28,0
"413","1","spoli_c_379",1,29,1
"414","2","spoli_c_379",2,30,1
"415","2","spoli_c_379",1,31,0
"416","1","spoli_c_379",2,32,0
"417","1","spoli_c_391",2,1,0
"418","2","spoli_c_391",1,2,0
"419","1","spoli_c_391",1,3,1
"420","1","spoli_c_391",2,4,0
"421","2","spoli_c_391",1,5,0
"422","2","spoli_c_391",2,6,1
"423","2","spoli_c_391",2,7,1
"424","2","spoli_c_391",1,8,0
"425","1","spoli_c_391",1,9,1
"426","1","spoli_c_391",2,10,0
"427","1","spoli_c_391",2,11,0
"428","1","spoli_c_391",1,12,1
"429","2","spoli_c_391",2,13,1
"430","1","spoli_c_391",1,14,1
"431","2","spoli_c_391",2,15,1
"432","1","spoli_c_391",1,16,1
"433","2","spoli_c_391",1,17,0
"434","1","spoli_c_391",2,18,0
"435","2","spoli_c_391",1,19,0
"436","2","spoli_c_391",2,20,1
"437","1","spoli_c_391",2,21,0
"438","1","spoli_c_391",1,22,1
"439","2","spoli_c_391",2,23,1
"440","1","spoli_c_391",1,24,1
"441","2","spoli_c_391",1,25,0
"442","2","spoli_c_391",2,26,1
"443","1","spoli_c_391",2,27,0
"444","1","spoli_c_391",1,28,1
"445","2","spoli_c_391",1,29,0
"446","1","spoli_c_391",2,30,0
"447","1","spoli_c_391",1,31,1
"448","2","spoli_c_391",2,32,1
"449","1","spoli_c_396",2,1,0
"450","2","spoli_c_396",1,2,0
"451","1","spoli_c_396",1,3,1
"452","1","spoli_c_396",2,4,0
"453","2","spoli_c_396",1,5,0
"454","1","spoli_c_396",2,6,0
"455","1","spoli_c_396",2,7,0
"456","1","spoli_c_396",1,8,1
"457","2","spoli_c_396",1,9,0
"458","2","spoli_c_396",2,10,1
"459","1","spoli_c_396",2,11,0
"460","2","spoli_c_396",1,12,0
"461","2","spoli_c_396",2,13,1
"462","1","spoli_c_396",1,14,1
"463","2","spoli_c_396",2,15,1
"464","2","spoli_c_396",1,16,0
"465","2","spoli_c_396",1,17,0
"466","1","spoli_c_396",2,18,0
"467","1","spoli_c_396",1,19,1
"468","2","spoli_c_396",2,20,1
"469","2","spoli_c_396",2,21,1
"470","2","spoli_c_396",1,22,0
"471","2","spoli_c_396",2,23,1
"472","2","spoli_c_396",1,24,0
"473","1","spoli_c_396",1,25,1
"474","1","spoli_c_396",2,26,0
"475","2","spoli_c_396",2,27,1
"476","2","spoli_c_396",1,28,0
"477","1","spoli_c_396",1,29,1
"478","2","spoli_c_396",2,30,1
"479","2","spoli_c_396",1,31,0
"480","1","spoli_c_396",2,32,0
"481","1","spoli_c_409",2,1,0
"482","1","spoli_c_409",1,2,1
"483","2","spoli_c_409",1,3,0
"484","2","spoli_c_409",2,4,1
"485","2","spoli_c_409",1,5,0
"486","2","spoli_c_409",2,6,1
"487","2","spoli_c_409",2,7,1
"488","2","spoli_c_409",1,8,0
"489","2","spoli_c_409",1,9,0
"490","2","spoli_c_409",2,10,1
"491","2","spoli_c_409",2,11,1
"492","1","spoli_c_409",1,12,1
"493","2","spoli_c_409",2,13,1
"494","1","spoli_c_409",1,14,1
"495","1","spoli_c_409",2,15,0
"496","2","spoli_c_409",1,16,0
"497","2","spoli_c_409",1,17,0
"498","1","spoli_c_409",2,18,0
"499","1","spoli_c_409",1,19,1
"500","2","spoli_c_409",2,20,1
"501","2","spoli_c_409",2,21,1
"502","2","spoli_c_409",1,22,0
"503","2","spoli_c_409",2,23,1
"504","1","spoli_c_409",1,24,1
"505","1","spoli_c_409",1,25,1
"506","1","spoli_c_409",2,26,0
"507","2","spoli_c_409",2,27,1
"508","2","spoli_c_409",1,28,0
"509","1","spoli_c_409",1,29,1
"510","1","spoli_c_409",2,30,0
"511","2","spoli_c_409",1,31,0
"512","2","spoli_c_409",2,32,1
"513","1","spoli_c_410",2,1,0
"514","2","spoli_c_410",1,2,0
"515","2","spoli_c_410",1,3,0
"516","2","spoli_c_410",2,4,1
"517","2","spoli_c_410",1,5,0
"518","2","spoli_c_410",2,6,1
"519","2","spoli_c_410",2,7,1
"520","1","spoli_c_410",1,8,1
"521","1","spoli_c_410",1,9,1
"522","2","spoli_c_410",2,10,1
"523","2","spoli_c_410",2,11,1
"524","1","spoli_c_410",1,12,1
"525","2","spoli_c_410",2,13,1
"526","1","spoli_c_410",1,14,1
"527","2","spoli_c_410",2,15,1
"528","1","spoli_c_410",1,16,1
"529","2","spoli_c_410",1,17,0
"530","2","spoli_c_410",2,18,1
"531","2","spoli_c_410",1,19,0
"532","2","spoli_c_410",2,20,1
"533","1","spoli_c_410",2,21,0
"534","1","spoli_c_410",1,22,1
"535","1","spoli_c_410",2,23,0
"536","1","spoli_c_410",1,24,1
"537","1","spoli_c_410",1,25,1
"538","1","spoli_c_410",2,26,0
"539","1","spoli_c_410",2,27,0
"540","2","spoli_c_410",1,28,0
"541","1","spoli_c_410",1,29,1
"542","2","spoli_c_410",2,30,1
"543","1","spoli_c_410",1,31,1
"544","2","spoli_c_410",2,32,1
"545","1","spoli_c_419",2,1,0
"546","2","spoli_c_419",1,2,0
"547","1","spoli_c_419",1,3,1
"548","1","spoli_c_419",2,4,0
"549","2","spoli_c_419",1,5,0
"550","2","spoli_c_419",2,6,1
"551","2","spoli_c_419",2,7,1
"552","2","spoli_c_419",1,8,0
"553","2","spoli_c_419",1,9,0
"554","1","spoli_c_419",2,10,0
"555","2","spoli_c_419",2,11,1
"556","1","spoli_c_419",1,12,1
"557","2","spoli_c_419",2,13,1
"558","2","spoli_c_419",1,14,0
"559","2","spoli_c_419",2,15,1
"560","2","spoli_c_419",1,16,0
"561","2","spoli_c_419",1,17,0
"562","2","spoli_c_419",2,18,1
"563","1","spoli_c_419",1,19,1
"564","2","spoli_c_419",2,20,1
"565","2","spoli_c_419",2,21,1
"566","2","spoli_c_419",1,22,0
"567","2","spoli_c_419",2,23,1
"568","2","spoli_c_419",1,24,0
"569","2","spoli_c_419",1,25,0
"570","2","spoli_c_419",2,26,1
"571","2","spoli_c_419",2,27,1
"572","1","spoli_c_419",1,28,1
"573","2","spoli_c_419",1,29,0
"574","2","spoli_c_419",2,30,1
"575","2","spoli_c_419",1,31,0
"576","2","spoli_c_419",2,32,1
"577","2","spoli_c_439",2,1,1
"578","1","spoli_c_439",1,2,1
"579","2","spoli_c_439",1,3,0
"580","2","spoli_c_439",2,4,1
"581","1","spoli_c_439",1,5,1
"582","2","spoli_c_439",2,6,1
"583","2","spoli_c_439",2,7,1
"584","1","spoli_c_439",1,8,1
"585","1","spoli_c_439",1,9,1
"586","1","spoli_c_439",2,10,0
"587","1","spoli_c_439",2,11,0
"588","2","spoli_c_439",1,12,0
"589","2","spoli_c_439",2,13,1
"590","2","spoli_c_439",1,14,0
"591","1","spoli_c_439",2,15,0
"592","2","spoli_c_439",1,16,0
"593","1","spoli_c_439",1,17,1
"594","1","spoli_c_439",2,18,0
"595","1","spoli_c_439",1,19,1
"596","2","spoli_c_439",2,20,1
"597","1","spoli_c_439",2,21,0
"598","1","spoli_c_439",1,22,1
"599","2","spoli_c_439",2,23,1
"600","1","spoli_c_439",1,24,1
"601","1","spoli_c_439",1,25,1
"602","1","spoli_c_439",2,26,0
"603","2","spoli_c_439",2,27,1
"604","1","spoli_c_439",1,28,1
"605","1","spoli_c_439",1,29,1
"606","1","spoli_c_439",2,30,0
"607","1","spoli_c_439",1,31,1
"608","2","spoli_c_439",2,32,1
"609","2","spoli_c_444",2,1,1
"610","1","spoli_c_444",1,2,1
"611","2","spoli_c_444",1,3,0
"612","1","spoli_c_444",2,4,0
"613","1","spoli_c_444",1,5,1
"614","2","spoli_c_444",2,6,1
"615","2","spoli_c_444",2,7,1
"616","2","spoli_c_444",1,8,0
"617","2","spoli_c_444",1,9,0
"618","2","spoli_c_444",2,10,1
"619","1","spoli_c_444",2,11,0
"620","2","spoli_c_444",1,12,0
"621","2","spoli_c_444",2,13,1
"622","2","spoli_c_444",1,14,0
"623","2","spoli_c_444",2,15,1
"624","2","spoli_c_444",1,16,0
"625","2","spoli_c_444",1,17,0
"626","1","spoli_c_444",2,18,0
"627","2","spoli_c_444",1,19,0
