"","ans","subj","key","trial_order","corr"
"343","2","spoli_c_049",2,23,1
"344","1","spoli_c_049",1,24,1
"345","2","spoli_c_049",2,25,1
"346","2","spoli_c_049",2,26,1
"347","2","spoli_c_049",1,27,0
"348","2","spoli_c_049",2,28,1
"349","1","spoli_c_049",1,29,1
"350","2","spoli_c_049",2,30,1
"351","2","spoli_c_049",1,31,0
"352","1","spoli_c_049",1,32,1
"353","2","spoli_c_071",2,1,1
"354","2","spoli_c_071",2,2,1
"355","2","spoli_c_071",1,3,0
"356","2","spoli_c_071",2,4,1
"357","2","spoli_c_071",1,5,0
"358","2","spoli_c_071",2,6,1
"359","2","spoli_c_071",2,7,1
"360","2","spoli_c_071",1,8,0
"361","2","spoli_c_071",2,9,1
"362","2","spoli_c_071",1,10,0
"363","2","spoli_c_071",2,11,1
"364","2","spoli_c_071",1,12,0
"365","2","spoli_c_071",1,13,0
"366","2","spoli_c_071",2,14,1
"367","2","spoli_c_071",1,15,0
"368","2","spoli_c_071",2,16,1
"369","2","spoli_c_071",1,17,0
"370","2","spoli_c_071",1,18,0
"371","2","spoli_c_071",2,19,1
"372","2","spoli_c_071",1,20,0
"373","2","spoli_c_071",1,21,0
"374","2","spoli_c_071",2,22,1
"375","2","spoli_c_071",2,23,1
"376","2","spoli_c_071",1,24,0
"377","2","spoli_c_071",2,25,1
"378","2","spoli_c_071",2,26,1
"379","2","spoli_c_071",1,27,0
"380","2","spoli_c_071",2,28,1
"381","2","spoli_c_071",1,29,0
"382","2","spoli_c_071",2,30,1
"383","2","spoli_c_071",1,31,0
"384","2","spoli_c_071",1,32,0
"385","1","spoli_c_125",2,1,0
"386","1","spoli_c_125",2,2,0
"387","1","spoli_c_125",1,3,1
"388","1","spoli_c_125",2,4,0
"389","1","spoli_c_125",1,5,1
"390","2","spoli_c_125",2,6,1
"391","1","spoli_c_125",2,7,0
"392","2","spoli_c_125",1,8,0
"393","1","spoli_c_125",2,9,0
"394","1","spoli_c_125",1,10,1
"395","1","spoli_c_125",2,11,0
"396","1","spoli_c_125",1,12,1
"397","1","spoli_c_125",1,13,1
"398","1","spoli_c_125",2,14,0
"399","1","spoli_c_125",1,15,1
"400","1","spoli_c_125",2,16,0
"401","1","spoli_c_125",1,17,1
"402","1","spoli_c_125",1,18,1
"403","1","spoli_c_125",2,19,0
"404","1","spoli_c_125",1,20,1
"405","1","spoli_c_125",1,21,1
"406","1","spoli_c_125",2,22,0
"407","1","spoli_c_125",2,23,0
"408","1","spoli_c_125",1,24,1
"409","1","spoli_c_125",2,25,0
"410","1","spoli_c_125",2,26,0
"411","1","spoli_c_125",1,27,1
"412","1","spoli_c_125",2,28,0
"413","1","spoli_c_125",1,29,1
"414","1","spoli_c_125",2,30,0
"415","1","spoli_c_125",1,31,1
"416","1","spoli_c_125",1,32,1
"417","2","spoli_c_342",2,1,1
"418","2","spoli_c_342",2,2,1
"419","2","spoli_c_342",1,3,0
"420","1","spoli_c_342",2,4,0
"421","2","spoli_c_342",1,5,0
"422","1","spoli_c_342",2,6,0
"423","1","spoli_c_342",2,7,0
"424","1","spoli_c_342",1,8,1
"425","2","spoli_c_342",2,9,1
"426","1","spoli_c_342",1,10,1
"427","2","spoli_c_342",2,11,1
"428","2","spoli_c_342",1,12,0
"429","2","spoli_c_342",1,13,0
"430","1","spoli_c_342",2,14,0
"431","2","spoli_c_342",1,15,0
"432","1","spoli_c_342",2,16,0
"433","2","spoli_c_342",1,17,0
"434","2","spoli_c_342",1,18,0
"435","1","spoli_c_342",2,19,0
"436","2","spoli_c_342",1,20,0
"437","1","spoli_c_342",1,21,1
"438","1","spoli_c_342",2,22,0
"439","2","spoli_c_342",2,23,1
"440","1","spoli_c_342",1,24,1
"441","2","spoli_c_342",2,25,1
"442","2","spoli_c_342",2,26,1
"443","2","spoli_c_342",1,27,0
"444","1","spoli_c_342",2,28,0
"445","2","spoli_c_342",1,29,0
"446","2","spoli_c_342",2,30,1
"447","2","spoli_c_342",1,31,0
"448","2","spoli_c_342",1,32,0
"449","1","spoli_c_379",2,1,0
"450","1","spoli_c_379",2,2,0
"451","1","spoli_c_379",1,3,1
"452","2","spoli_c_379",2,4,1
"453","2","spoli_c_379",1,5,0
"454","1","spoli_c_379",2,6,0
"455","1","spoli_c_379",2,7,0
"456","1","spoli_c_379",1,8,1
"457","2","spoli_c_379",2,9,1
"458","2","spoli_c_379",1,10,0
