auditory_part_id,total_tone_rts,total_syllable_rts,total_auditory_rts,random_syllable_mean_rt,random_tone_mean_rt,structured_syllable_mean_rt,structured_tone_mean_rt,random_ssl_rt_slope,random_tsl_rt_slope,structured_ssl_rt_slope,structured_tsl_rt_slope,syllable_mean_rt_difference,tone_mean_rt_difference,ssl_rt_slope_difference,tsl_rt_slope_difference,X,visual_part_id,total_image_rts,total_letter_rts,total_visual_rts,random_image_mean_rt,random_letter_mean_rt,structured_image_mean_rt,structured_letter_mean_rt,random_lsl_rt_slope,random_vsl_rt_slope,structured_lsl_rt_slope,structured_vsl_rt_slope,letter_mean_rt_difference,image_mean_rt_difference,lsl_rt_slope_difference,vsl_rt_slope_difference
blast_a_013,96,96,192,702.5243067,25.55338768,670.0365236,95.54857928,6.378,7.996,-1.047,12.696,-0.046244355,2.739174644,-1.164158043,0.587793897,11,blast_a_013,50,48,98,526.9737013,510.7497357,370.1267801,318.1146691,2.955,-4.548,-21.85,-11.783,-0.377161363,-0.297637094,-8.394247039,1.590809147
blast_a_014,96,96,192,721.9315049,569.7382807,678.6134524,512.7180242,1.707,7.277,3.704,-1.043,-0.060002995,-0.100081491,1.169888694,-1.143328295,12,blast_a_014,50,48,98,518.5844366,442.3507319,490.2658208,349.9563035,-0.511,-1.023,-13.166,-3.591,-0.208871426,-0.054607531,24.76516634,2.51026393
blast_a_015,96,96,192,718.7589371,201.2875047,634.746602,266.2913057,2.715,12.857,5.942,-5.32,-0.116885274,0.322940071,1.188581952,-1.413782375,13,blast_a_015,50,48,98,465.7191174,482.2863099,463.1546227,238.5712389,-4.616,0.962,0.545,-0.236,-0.505332758,-0.005506527,-1.118067591,-1.245322245
blast_a_017,96,96,192,714.8803561,401.5987337,780.345598,614.1466193,-0.563,-0.438,1.335,2.129,0.091575103,0.529254372,-3.371225577,-5.860730594,14,blast_a_017,48,48,96,601.0337072,660.5983876,390.2437368,436.4452825,-2.497,11.456,-19.92,-9.608,-0.339318275,-0.350712394,6.977573088,-1.838687151
blast_a_018,96,96,192,675.6410355,328.8924872,684.7657631,575.7366389,0.253,3.899,2.597,-1.954,0.013505289,0.750531439,9.264822134,-1.501154142,15,blast_a_018,48,48,96,441.2980865,404.8575086,413.8648244,422.9233086,0.109,-0.073,-1.45,1.337,0.044622613,-0.062164924,-14.30275229,-19.31506849
blast_a_020,96,96,192,659.0915148,615.92912,656.9476867,613.5075133,1.493,-0.309,-0.603,1.144,-0.003252702,-0.003931632,-1.403884796,-4.702265372,16,blast_a_020,48,48,96,530.7330057,506.9097158,491.307392,544.0527406,-1.792,1.097,1.184,0.883,0.073273452,-0.074285212,-1.660714286,-0.195077484
blast_a_021,96,96,192,655.0648688,384.9500853,643.9309356,465.7411766,-0.151,-7.481,-1.435,-3.914,-0.016996688,0.2098742,8.503311258,-0.476807913,17,blast_a_021,50,48,98,428.2393677,424.6397434,420.4711368,317.0005979,-0.497,2.642,-16.673,0.536,-0.253483446,-0.018139927,32.5472837,-0.797123391
blast_a_022,96,96,192,524.6745243,259.010958,458.8633735,251.5521062,0.069,-0.537,-0.198,-2.386,-0.125432335,-0.028797437,-3.869565217,3.44320298,18,blast_a_022,50,48,98,435.7253955,442.670252,433.1554472,433.4978362,0.796,-0.206,-1.817,-2.494,-0.020720651,-0.005898092,-3.282663317,11.10679612
blast_a_023,96,96,192,736.6971423,406.7157151,-163.8908113,332.5682926,-0.239,1.092,-0.779,-10.318,-1.222467011,-0.182307739,2.259414226,-10.44871795,19,blast_a_023,48,48,96,541.3251307,471.7627751,494.6945426,470.5104823,-6.398,2.748,4.838,-2.32,-0.002654497,-0.086141554,-1.756173804,-1.844250364
blast_a_024,96,96,192,711.2189272,478.163622,718.2291674,258.7671823,-0.861,3.101,-1.997,-9.015,0.009856656,-0.458831307,1.319396051,-3.907126733,20,blast_a_024,48,48,96,543.2637623,511.1789669,475.6728375,567.2676559,-6.093,0.333,4.437,-0.312,0.109724172,-0.124416406,-1.728212703,-1.936936937
blast_a_025,96,96,192,712.0107461,143.2619438,645.2464671,304.729044,-2.681,1.758,-2.104,2.236,-0.093768639,1.127076011,-0.215218202,0.271899886,21,blast_a_025,50,48,98,547.7802155,584.6600387,466.3442036,489.2787681,10.576,-0.828,-2.432,-1.625,-0.163139712,-0.148665486,-1.229954614,0.962560386
blast_a_026,48,48,96,760.5638976,184.7695076,461.140566,380.994771,-0.5,3.272,-3.569,-18.72,-0.393685964,1.062000251,6.138,-6.721271394,22,blast_a_026,35,36,71,438.2584728,411.3519417,432.5637105,71.84358033,0.632,-2.002,16.224,-2.259,-0.825347657,-0.012994072,24.67088608,0.128371628
blast_a_027,96,96,192,712.504786,484.9217635,688.2363269,384.5148496,-2.736,2.932,-0.973,2.792,-0.034060766,-0.207057966,-0.644371345,-0.047748977,23,blast_a_027,50,48,98,525.4665085,518.1947976,507.1804618,39.16214268,-5.556,-0.166,-17.944,0.441,-0.924425828,-0.034799643,2.229661627,-3.656626506
blast_a_035,96,96,192,625.1423272,542.6469086,552.2437282,450.3133924,0.106,1.549,-2.767,0.543,-0.116611203,-0.170153952,-27.10377358,-0.649451259,25,blast_a_035,46,48,94,481.1757586,492.8879012,520.6465324,456.5569659,-0.221,-0.15,0.272,6.558,-0.073710341,0.082029847,-2.230769231,-44.72
blast_a_038,96,96,192,610.1445131,541.6002495,549.3515536,483.6644005,-1.432,-2.668,-2.706,-2.11,-0.099636985,-0.106971607,0.889664804,-0.209145427,26,blast_a_038,48,48,96,468.9949284,513.722976,426.3802767,205.8787147,-2.497,-0.305,-6.867,-3.478,-0.599241762,-0.090863779,1.75010012,10.40327869
blast_a_039,96,96,192,608.5286339,392.495608,449.1019772,253.1667811,2.783,-7.748,2.001,-4.485,-0.261987108,-0.354981875,-0.280991736,-0.42114094,27,blast_a_039,48,48,96,558.322231,529.3514588,473.7697124,497.6249139,0.742,-2.313,7.312,1.494,-0.059934746,-0.151440358,8.854447439,-1.645914397
